created_on,name,database_name,schema_name,kind,comment,cluster_by,rows,bytes,owner,retention_time,automatic_clustering,change_tracking,is_external,enable_schema_evolution,owner_role_type,is_event,budget
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_COST_PER_CONVERSION,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_COST_PER_OUTBOUND_CLICK,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_COST_PER_THRUPLAY,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_COST_PER_UNIQUE_ACTION_TYPE,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_COST_PER_UNIQUE_OUTBOUND_CLICK,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_INSTANT_EXPERIENCE_OUTBOUND_CLICKS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_MOBILE_APP_PURCHASE_ROAS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_OUTBOUND_CLICKS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),24528,2067968,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_OUTBOUND_CLICKS_CTR,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_PURCHASE_ROAS,EGGOZDB,MAPLEMONK,TABLE,,LINEAR(_AIRBYTE_EMITTED_AT),0,0,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
2023-03-13,CUSTOM_FACEBOOK_MARKETING_FACEBOOK_EGGOZ_ADS_INSIGHTS_SCD,EGGOZDB,MAPLEMONK,TABLE,,"LINEAR(_AIRBYTE_ACTIVE_ROW, _AIRBYTE_UNIQUE_KEY_SCD, _AIRBYTE_EMITTED_AT)",69587,17705984,ACCOUNTADMIN,1,ON,OFF,N,N,ROLE,N,
