,Date,Energy Required (MU)
880,15-11-2014,124.538
881,16-11-2014,124.764
882,17-11-2014,129.102
883,18-11-2014,128.927
884,19-11-2014,128.287
885,20-11-2014,131.179
886,21-11-2014,129.789
887,22-11-2014,130.525
888,23-11-2014,131.259
889,24-11-2014,133.523
890,25-11-2014,130.569
891,26-11-2014,131.842
892,27-11-2014,132.188
893,28-11-2014,129.295
894,29-11-2014,131.702
895,30-11-2014,129.064
896,01-12-2014,130.619
897,02-12-2014,133.162
898,03-12-2014,133.122
899,04-12-2014,132.37
900,05-12-2014,135.116
901,06-12-2014,135.04
902,07-12-2014,131.625
903,08-12-2014,135.316
904,09-12-2014,142.463
905,10-12-2014,137.85
906,11-12-2014,134.325
907,12-12-2014,129.483
908,13-12-2014,129.275
909,14-12-2014,127.302
910,15-12-2014,132.002
911,16-12-2014,136.515
912,17-12-2014,134.063
913,18-12-2014,131.396
914,19-12-2014,129.977
915,20-12-2014,130.025
916,21-12-2014,127.58
917,22-12-2014,132.411
918,23-12-2014,128.951
919,24-12-2014,133.339
920,25-12-2014,131.273
921,26-12-2014,129.452
922,27-12-2014,129.097
923,28-12-2014,129.839
924,29-12-2014,125.577
925,30-12-2014,125.001
926,31-12-2014,130.112
927,01-01-2015,131.501
928,02-01-2015,135.684
929,03-01-2015,136.575
930,04-01-2015,136.887
931,05-01-2015,138.566
932,06-01-2015,138.846
933,07-01-2015,137.209
934,08-01-2015,137.859
935,09-01-2015,135.199
936,10-01-2015,136.159
937,11-01-2015,131.173
938,12-01-2015,132.813
939,13-01-2015,136.996
940,14-01-2015,134.263
941,15-01-2015,127.22
942,16-01-2015,125.107
943,17-01-2015,128.624
944,18-01-2015,127.796
945,19-01-2015,131.75
946,20-01-2015,134.978
947,21-01-2015,134.27
948,22-01-2015,136.556
949,23-01-2015,139.711
950,24-01-2015,137.127
951,25-01-2015,137.041
952,26-01-2015,134.741
953,27-01-2015,137.412
954,28-01-2015,140.114
955,29-01-2015,139.509
956,30-01-2015,140.529
957,31-01-2015,141.08
958,01-02-2015,138.054
959,02-02-2015,137.458
960,03-02-2015,138.233
961,04-02-2015,137.456
962,05-02-2015,139.153
963,06-02-2015,141.097
964,07-02-2015,143.155
965,08-02-2015,140.576
966,09-02-2015,141.981
967,10-02-2015,145.415
968,11-02-2015,143.569
969,12-02-2015,141.342
970,13-02-2015,143.897
971,14-02-2015,143.569
972,15-02-2015,143.287
973,16-02-2015,144.157
974,17-02-2015,144.689
975,18-02-2015,142.985
976,19-02-2015,144.295
977,20-02-2015,144.899
978,21-02-2015,146.56
979,22-02-2015,142.224
980,23-02-2015,142.862
981,24-02-2015,145.562
982,25-02-2015,147.369
983,26-02-2015,145.355
984,27-02-2015,147.719
985,28-02-2015,143.115
986,01-03-2015,135.678
987,02-03-2015,138.554
988,03-03-2015,140.93
989,04-03-2015,137.705
990,05-03-2015,141.742
991,06-03-2015,138.003
992,07-03-2015,142.528
993,08-03-2015,137.835
994,09-03-2015,143.264
995,10-03-2015,143.867
996,11-03-2015,144.102
997,12-03-2015,145.864
998,13-03-2015,145.696
999,14-03-2015,146.319
1000,15-03-2015,146.459
1001,16-03-2015,146.561
1002,17-03-2015,146.562
1003,18-03-2015,148.693
1004,19-03-2015,150.347
1005,20-03-2015,146.931
1006,21-03-2015,148.065
1007,22-03-2015,144.244
1008,23-03-2015,148.87
1009,24-03-2015,152.523
1010,25-03-2015,151.865
1011,26-03-2015,153.935
1012,27-03-2015,150.218
1013,28-03-2015,151.759
1014,29-03-2015,148.308
1015,30-03-2015,147.447
1016,31-03-2015,151.626
1017,01-04-2015,150.534
1018,02-04-2015,150.106
1019,03-04-2015,151.75
1020,04-04-2015,154.208
1021,05-04-2015,149.9
1022,06-04-2015,149.927
1023,07-04-2015,150.586
1024,08-04-2015,152.258
1025,09-04-2015,150.226
1026,10-04-2015,152.859
1027,11-04-2015,149.998
1028,12-04-2015,134.697
1029,13-04-2015,127.984
1030,14-04-2015,123.314
1031,15-04-2015,121.825
1032,16-04-2015,128.134
1033,17-04-2015,130.062
1034,18-04-2015,133.747
1035,19-04-2015,134.288
1036,20-04-2015,140.756
1037,21-04-2015,144.152
1038,22-04-2015,143.492
1039,23-04-2015,148.863
1040,24-04-2015,127.482
1041,25-04-2015,130.772
1042,26-04-2015,131.757
1043,27-04-2015,138.127
1044,28-04-2015,142.221
1045,29-04-2015,137.288
1046,30-04-2015,139.798
1047,01-05-2015,138.81
1048,02-05-2015,140.708
1049,03-05-2015,135.442
1050,04-05-2015,142.267
1051,05-05-2015,143.027
1052,06-05-2015,144.527
1053,07-05-2015,143.482
1054,08-05-2015,147.541
1055,09-05-2015,145.36
1056,10-05-2015,145.945
1057,11-05-2015,147.12
1058,12-05-2015,149.995
1059,13-05-2015,149.541
1060,14-05-2015,147.958
1061,15-05-2015,143.674
1062,16-05-2015,137.562
1063,17-05-2015,131.098
1064,18-05-2015,137.64
1065,19-05-2015,147.114
